tipo_serv;numos;datasol;dataven;datater_trab;TD;TE;equipe;dthaps_ini;dthaps_fim_ajustado;inicio_turno;fim_turno;dth_chegada_estimada;dth_final_estimada;fim_turno_estimado;eta_source;base_lon;base_lat;tipo_base;abrangencia;defeito_falha;localidade;localizacao;nox;noy;dh_inicio;dh_alocacao;dh_chegada;dh_final;tp;td;te;ano;mes;eusd;eusd_fio_b;latitude;longitude;dt_ref;prioridade;violacao;tipserv;codserv;data_sol;data_venc;num_cdc;datasaida;datainitrab;datatertrab;job_id_vroom;distancia_vroom;duracao_vroom
comercial;95045522;2023-02-14 03:15:34;2023-02-15 08:00:00;2023-02-14 08:50:05;4,8;1,08;PVLSN81;2023-02-14 06:00:23;2023-02-14 15:24:31;2023-02-14 06:00:00;2023-02-14 15:00:00;2023-02-14 06:17:24;2023-02-14 06:18:28;2023-02-14 08:03:53;VROOM;-63,885464691387746;-8,738508095069408;;;;;;;;;;;;;4,8;1,08;2023;2;83,52;83,52;-8,777839;-63,878916;2023-02-14;1,835056926913189;0,0;C;3,0;2023-02-14 03:15:34;2023-02-15 08:00:00;1267667;2023-02-14 08:44:12;2023-02-14 08:49:00;2023-02-14 08:50:05;95045522;;3955
comercial;95045571;2023-02-14 03:15:34;2023-02-15 08:00:00;2023-02-14 10:15:32;18,78;2,42;PVLSN81;2023-02-14 06:00:23;2023-02-14 15:24:31;2023-02-14 06:00:00;2023-02-14 15:00:00;2023-02-14 06:04:44;2023-02-14 06:07:09;2023-02-14 08:03:53;VROOM;-63,885464691387746;-8,738508095069408;;;;;;;;;;;;;18,78;2,42;2023;2;12,63;12,63;-8,753568;-63,900568;2023-02-14;1,835056926913189;0,0;C;3,0;2023-02-14 03:15:34;2023-02-15 08:00:00;1137305;2023-02-14 09:54:20;2023-02-14 10:13:07;2023-02-14 10:15:32;95045571;;3955
comercial;95045617;2023-02-14 03:15:34;2023-02-15 08:00:00;2023-02-14 13:56:20;5,23;1,97;PVLSN81;2023-02-14 06:00:23;2023-02-14 15:24:31;2023-02-14 06:00:00;2023-02-14 15:00:00;2023-02-14 07:09:06;2023-02-14 07:11:04;2023-02-14 08:03:53;VROOM;-63,885464691387746;-8,738508095069408;;;;;;;;;;;;;5,23;1,97;2023;2;39,17;39,17;-8,778183;-63,805756;2023-02-14;1,835056926913189;0,0;C;3,0;2023-02-14 03:15:34;2023-02-15 08:00:00;2162470;2023-02-14 13:49:08;2023-02-14 13:54:22;2023-02-14 13:56:20;95045617;;3955
comercial;95045462;2023-02-14 03:15:34;2023-02-15 08:00:00;2023-02-14 09:48:28;3,67;4,63;PVLSN81;2023-02-14 06:00:23;2023-02-14 15:24:31;2023-02-14 06:00:00;2023-02-14 15:00:00;2023-02-14 06:27:04;2023-02-14 06:31:41;2023-02-14 08:03:53;VROOM;-63,885464691387746;-8,738508095069408;;;;;;;;;;;;;3,67;4,63;2023;2;106,41;106,41;-8,800209;-63,881925;2023-02-14;1,835056926913189;0,0;C;3,0;2023-02-14 03:15:34;2023-02-15 08:00:00;61074;2023-02-14 09:40:10;2023-02-14 09:43:50;2023-02-14 09:48:28;95045462;;3955
comercial;95045499;2023-02-14 03:15:34;2023-02-15 08:00:00;2023-02-14 10:48:11;2,98;2,45;PVLSN81;2023-02-14 06:00:23;2023-02-14 15:24:31;2023-02-14 06:00:00;2023-02-14 15:00:00;2023-02-14 06:39:59;2023-02-14 06:42:26;2023-02-14 08:03:53;VROOM;-63,885464691387746;-8,738508095069408;;;;;;;;;;;;;2,98;2,45;2023;2;25,27;25,27;-8,805176;-63,881422;2023-02-14;1,835056926913189;0,0;C;3,0;2023-02-14 03:15:34;2023-02-15 08:00:00;2201369;2023-02-14 10:42:45;2023-02-14 10:45:44;2023-02-14 10:48:11;95045499;;3955
comercial;95045534;2023-02-14 03:15:34;2023-02-15 08:00:00;2023-02-14 10:17:38;7,38;7,77;PVOSN66;2023-02-14 06:00:59;2023-02-14 16:40:51;2023-02-14 06:00:00;2023-02-14 17:00:00;2023-02-14 06:28:07;2023-02-14 06:35:53;2023-02-14 07:59:23;VROOM;-63,885464691387746;-8,738508095069408;;;;;;;;;;;;;7,38;7,77;2023;2;5,68;5,68;-8,75946;-63,831726;2023-02-14;1,835056926913189;0,0;C;3,0;2023-02-14 03:15:34;2023-02-15 08:00:00;2172803;2023-02-14 10:02:29;2023-02-14 10:09:52;2023-02-14 10:17:38;95045534;;3942
comercial;95045516;2023-02-14 03:15:34;2023-02-15 08:00:00;2023-02-14 08:43:13;19,97;1,48;PVOSN66;2023-02-14 06:00:59;2023-02-14 16:40:51;2023-02-14 06:00:00;2023-02-14 17:00:00;2023-02-14 07:43:46;2023-02-14 07:45:14;2023-02-14 07:59:23;VROOM;-63,885464691387746;-8,738508095069408;;;;;;;;;;;;;19,97;1,48;2023;2;23,0;23,0;-8,777203;-63,883373;2023-02-14;1,835056926913189;0,0;C;3,0;2023-02-14 03:15:34;2023-02-15 08:00:00;2229373;2023-02-14 08:21:46;2023-02-14 08:41:44;2023-02-14 08:43:13;95045516;;3942
comercial;95045604;2023-02-14 03:15:34;2023-02-15 08:00:00;2023-02-14 08:50:02;4,25;5,17;PVOSN66;2023-02-14 06:00:59;2023-02-14 16:40:51;2023-02-14 06:00:00;2023-02-14 17:00:00;2023-02-14 07:48:42;2023-02-14 07:53:52;2023-02-14 07:59:23;VROOM;-63,885464691387746;-8,738508095069408;;;;;;;;;;;;;4,25;5,17;2023;2;12,63;12,63;-8,766255;-63,874379;2023-02-14;1,835056926913189;0,0;C;3,0;2023-02-14 03:15:34;2023-02-15 08:00:00;1066244;2023-02-14 08:40:37;2023-02-14 08:44:52;2023-02-14 08:50:02;95045604;;3942
comercial;95045535;2023-02-14 03:15:34;2023-02-15 08:00:00;2023-02-14 10:56:11;6,85;1,87;PVOSN66;2023-02-14 06:00:59;2023-02-14 16:40:51;2023-02-14 06:00:00;2023-02-14 17:00:00;2023-02-14 06:43:00;2023-02-14 06:44:52;2023-02-14 07:59:23;VROOM;-63,885464691387746;-8,738508095069408;;;;;;;;;;;;;6,85;1,87;2023;2;21,23;21,23;-8,769183;-63,806264;2023-02-14;1,835056926913189;0,0;C;3,0;2023-02-14 03:15:34;2023-02-15 08:00:00;2193763;2023-02-14 10:47:28;2023-02-14 10:54:19;2023-02-14 10:56:11;95045535;;3942
comercial;95045464;2023-02-14 03:15:34;2023-02-15 08:00:00;2023-02-14 09:29:59;4,25;2,47;PVOSN66;2023-02-14 06:00:59;2023-02-14 16:40:51;2023-02-14 06:00:00;2023-02-14 17:00:00;2023-02-14 07:31:26;2023-02-14 07:33:54;2023-02-14 07:59:23;VROOM;-63,885464691387746;-8,738508095069408;;;;;;;;;;;;;4,25;2,47;2023;2;108,18;108,18;-8,79523;-63,880242;2023-02-14;1,835056926913189;0,0;C;3,0;2023-02-14 03:15:34;2023-02-15 08:00:00;69564;2023-02-14 09:23:16;2023-02-14 09:27:31;2023-02-14 09:29:59;95045464;;3942
